coffeMensa_tea2_9510  << 0.00266808, 0.00804005, 0.0145831, 0.0237943, 0.0337539, 0.0487632, 0.0690693, 0.0869006, 0.0960974, 0.0986258, 0.101992, 0.111658, 0.102515, 0.0803361, 0.0621752, 0.0386639, 0.0164812, 0.00388215, 0.0264982, 0.0278734, 0.032658, 0.0362178, 0.0402683, 0.0458552, 0.0517035, 0.0640554, 0.0907147, 0.108363, 0.103787, 0.0791721, 0.0643813, 0.0554137, 0.0487381, 0.0444012, 0.0411278, 0.0387713, 0, 1, 0
coffeMensa_tea2_4053  << 0.00239232, 0.00784308, 0.0137702, 0.0202416, 0.0278053, 0.0364327, 0.047148, 0.0599118, 0.0725933, 0.0827391, 0.0885158, 0.0910012, 0.0929781, 0.084648, 0.0870224, 0.0860626, 0.0718555, 0.0270389, 0.163663, 0.14168, 0.135141, 0.130249, 0.11341, 0.0884549, 0.0587909, 0.0394124, 0.0282888, 0.0208433, 0.0158258, 0.0131613, 0.0109946, 0.00945825, 0.00856651, 0.00798633, 0.00723784, 0.00683673, 1, 0, 0
coffeMensa_tea2_5169  << 0.00182647, 0.00632102, 0.0110125, 0.0182647, 0.0329732, 0.0512021, 0.0671174, 0.0750966, 0.0747027, 0.0698965, 0.0679196, 0.0696602, 0.0748316, 0.0770413, 0.0806297, 0.102461, 0.084648, 0.034395, 0.294022, 0.260423, 0.169572, 0.0997289, 0.0615377, 0.0357988, 0.0215989, 0.0140459, 0.00960151, 0.0069585, 0.00532183, 0.00435488, 0.00384275, 0.00308351, 0.00286863, 0.00267524, 0.00225623, 0.00230995, 1, 0, 0
colorPlate_coffeMensa_3826  << 3.72986e-05, 0.000118112, 0.000155411, 0.000239333, 0.000351228, 0.000512856, 0.000916924, 0.00221305, 0.00613562, 0.0129457, 0.0303952, 0.0684211, 0.12988, 0.18723, 0.190213, 0.159918, 0.129684, 0.0806333, 0.214392, 0.213708, 0.155762, 0.115159, 0.0589473, 0.0382466, 0.0309112, 0.0217233, 0.0178318, 0.0271627, 0.0372644, 0.0217078, 0.0132006, 0.0100489, 0.00738201, 0.00548289, 0.00613873, 0.00492963, 1, 0, 0
coffeMensa_colorPlate_7070  << 0.00249279, 0.00774878, 0.0126411, 0.0180339, 0.0234391, 0.0310822, 0.0398349, 0.0486094, 0.0599513, 0.0714019, 0.0875771, 0.111106, 0.141763, 0.110441, 0.0891529, 0.0811431, 0.0488922, 0.0146894, 0.0757161, 0.0781654, 0.0823926, 0.0898336, 0.10286, 0.122619, 0.110416, 0.0753929, 0.056209, 0.0425732, 0.0327917, 0.0268705, 0.0223232, 0.0192181, 0.0173034, 0.0158395, 0.0149785, 0.0144967, 1, 0, 0
colorPlate_tea1_4239  << 0, 2.5008e-05, 0.000107534, 0.00018756, 0.000275088, 0.000370118, 0.000672715, 0.00119038, 0.00319102, 0.0154775, 0.0493658, 0.132855, 0.189151, 0.174931, 0.137234, 0.129702, 0.103226, 0.0620399, 0.26473, 0.272292, 0.134596, 0.0710227, 0.048383, 0.0364067, 0.0295395, 0.028169, 0.025053, 0.0463573, 0.0197638, 0.0087603, 0.0050016, 0.00299846, 0.00212068, 0.00182308, 0.00158801, 0.00139545, 1, 0, 0
colorPlate_tea2_3642  << 5.11457e-05, 0.000418465, 0.000962468, 0.00139488, 0.00215742, 0.00310361, 0.00500763, 0.00774159, 0.0117542, 0.01954, 0.0314616, 0.0569716, 0.0951612, 0.149392, 0.191573, 0.191131, 0.143115, 0.0890632, 0.0958214, 0.101313, 0.110396, 0.10778, 0.102594, 0.0819144, 0.0746029, 0.0750935, 0.128645, 0.0904023, 0.0150717, 0.00593987, 0.00320358, 0.00214812, 0.00156692, 0.00130421, 0.0011531, 0.00105081, 1, 0, 0
colorPlate_tea2_8823  << 0.00971535, 0.026154, 0.0403493, 0.047068, 0.0469331, 0.0495834, 0.0513619, 0.0566415, 0.0615143, 0.0627185, 0.0640623, 0.066222, 0.0663894, 0.0667125, 0.0709972, 0.0752213, 0.0907068, 0.0476492, 0.0170315, 0.0180939, 0.0208302, 0.0260471, 0.0365482, 0.0591732, 0.1334, 0.273285, 0.30792, 0.0802475, 0.0125516, 0.00478909, 0.0029432, 0.00218299, 0.00162271, 0.00129724, 0.00108336, 0.000953169, 0, 1, 0
colorPlate_tea2_1631  << 0.00667916, 0.0183729, 0.0302434, 0.0455266, 0.0610772, 0.0587245, 0.058041, 0.0564532, 0.0552768, 0.0564206, 0.0610028, 0.0701811, 0.0769138, 0.084481, 0.0884611, 0.0898583, 0.0595219, 0.0227645, 0.0315127, 0.0337701, 0.0397681, 0.0516153, 0.075498, 0.148178, 0.187142, 0.166347, 0.171866, 0.0772671, 0.00844601, 0.00310129, 0.00175755, 0.00126702, 0.000922947, 0.000523081, 0.000518431, 0.000499833, 0, 1, 0
colorPlate_coffeMensa_458  << 0, 0, 3.10822e-06, 3.41904e-05, 9.63547e-05, 0.000158519, 0.000282848, 0.000630968, 0.00306159, 0.0128183, 0.0303362, 0.0816186, 0.16325, 0.204235, 0.178178, 0.139397, 0.120018, 0.0658817, 0.235137, 0.273563, 0.206162, 0.0848015, 0.0501355, 0.0329564, 0.0300906, 0.0359869, 0.0450816, 0.00456286, 0.000652725, 0.000254874, 0.00017406, 0.000136761, 9.63547e-05, 7.45972e-05, 7.77054e-05, 5.59479e-05, 1, 0, 0
